Species,Family,Subfamily,Life,Habitat,HabitatLife,SVL,Hum_Length,Hum_CSA,Hum_Imin,Hum_SMA,Hum_COM,Fem_Length,Fem_CSA,Fem_Imin,Fem_SMA,Fem_COM
Batrachoseps_wrighti,Plethodontidae,Hemidactyliinae,dd,T,T_dd,33.81,3.12,0.06,0.00,1.39,0.96,3.15,0.06,0.00,1.21,0.93
Batrachuperus_pinchonii,Hynobiidae,Hynobiinae,bi,Aq,Aq_bi,62.03,8.47,0.59,0.03,1.15,0.99,8.09,0.58,0.03,1.16,0.99
Bolitoglossa_diminuta,Plethodontidae,Hemidactyliinae,dd,T,T_dd,30.13,2.89,0.05,0.00,1.12,0.96,2.83,0.06,0.00,1.22,0.95
Bolitoglossa_dofleini,Plethodontidae,Hemidactyliinae,dd,T,T_dd,95.00,8.73,0.69,0.05,1.29,0.90,9.07,0.91,0.10,1.59,0.89
Bolitoglossa_franklini,Plethodontidae,Hemidactyliinae,dd,T,T_dd,40.18,5.63,0.17,0.00,1.51,0.90,5.07,0.25,0.01,1.84,0.94
Bolitoglossa_gracilis,Plethodontidae,Hemidactyliinae,dd,T,T_dd,36.10,3.61,0.08,0.00,1.09,0.98,3.78,0.08,0.00,1.21,0.99
Bolitoglossa_hartwegi,Plethodontidae,Hemidactyliinae,dd,T,T_dd,38.74,4.40,0.11,0.00,1.43,0.96,4.30,0.12,0.00,1.32,0.94
Bolitoglossa_heiroreias,Plethodontidae,Hemidactyliinae,dd,T,T_dd,45.82,5.02,0.19,0.00,1.24,0.97,5.16,0.22,0.00,1.24,0.95
Bolitoglossa_huehuetenanguensis,Plethodontidae,Hemidactyliinae,dd,T,T_dd,54.15,5.69,0.20,0.00,1.36,0.95,6.12,0.22,0.01,1.45,0.93
Bolitoglossa_mulleri,Plethodontidae,Hemidactyliinae,dd,T,T_dd,73.47,6.64,0.31,0.01,1.29,0.96,6.94,0.37,0.01,1.25,0.97
Bolitoglossa_porrasorum,Plethodontidae,Hemidactyliinae,dd,T,T_dd,44.16,4.86,0.17,0.00,1.30,0.94,4.98,0.19,0.00,1.33,0.96
Bolitoglossa_robinsoni,Plethodontidae,Hemidactyliinae,dd,T,T_dd,60.42,6.21,0.21,0.00,1.23,0.96,6.52,0.29,0.01,1.17,0.99
Bolitoglossa_rufescens,Plethodontidae,Hemidactyliinae,dd,T,T_dd,27.62,3.49,0.07,0.00,1.62,0.86,3.54,0.08,0.00,1.88,0.79
Bradytriton_silus,Plethodontidae,Hemidactyliinae,dd,T,T_dd,46.92,5.44,0.12,0.00,1.37,0.93,5.56,0.13,0.00,1.30,0.94
Calotriton_asper,Salamandridae,Pleurodelinae,bi,Aq,Aq_bi,62.92,7.36,0.46,0.02,1.22,1.00,7.00,0.52,0.03,1.52,1.00
Chioglossa_lusitanica,Salamandridae,Salamandrinae,bi,SAq,SAq_bi,41.70,5.78,0.12,0.00,1.19,1.00,5.30,0.15,0.00,1.22,1.00
Chiropterotriton_chiropterus,Plethodontidae,Hemidactyliinae,dd,T,T_dd,31.00,2.95,0.04,0.00,1.14,0.97,3.08,0.05,0.00,1.16,0.99
Chiropterotriton_magnipes,Plethodontidae,Hemidactyliinae,dd,T,T_dd,55.25,8.02,0.19,0.00,1.09,0.98,8.11,0.21,0.00,1.20,0.98
Cryptobranchus_alleganiensis,Cryptobranchidae,Cryptobranchinae,pd,Aq,Aq_pd,252.48,18.69,3.49,1.04,1.07,1.00,19.06,3.67,1.53,1.42,1.00
Cynops_pyrrhogaster,Salamandridae,Pleurodelinae,bi,Aq,Aq_bi,44.69,7.11,0.34,0.01,1.41,0.97,6.64,0.39,0.02,1.70,0.87
Dendrotriton_megarhinus,Plethodontidae,Hemidactyliinae,dd,T,T_dd,44.59,3.57,0.05,0.00,1.18,0.95,3.80,0.06,0.00,1.25,0.96
Desmognathus_amphileucus,Plethodontidae,Plethodontinae,bi,SAq,SAq_bi,88.33,11.09,0.83,0.06,1.17,0.96,13.04,1.09,0.13,1.38,0.92
Desmognathus_aureatus,Plethodontidae,Plethodontinae,bi,Aq,Aq_bi,63.73,6.64,0.29,0.01,1.46,0.89,7.87,0.41,0.02,1.67,0.83
Desmognathus_fuscus,Plethodontidae,Plethodontinae,bi,SAq,SAq_bi,43.38,3.65,0.08,0.00,1.27,0.93,4.36,0.13,0.00,1.41,0.89
